id,title,label
1,Jean-Michel Basquiat,5
3,TRAAM 2019/2020 : Suivre les élèves en Course d'orientation,2
4,Principales sanctions  de la politique de la concurrence,10
5,"Course d'orientation : Programmes EPS, Compétences attendues dans les APSA et socle commun de connaissances et de compétences",2
7,Cahier de sujets d'oral de contrôle session 2013,10
8,Renouveler son projet EPS en collège,2
9,La mise en valeur du site de Chassenon : un enjeu d'aménagement du territoire,5
10,La carte du monde en 1945,5
11,Un lexique latin étymologique téléchargeable,4
16,Règle de droits et règles morales,10
17,Les notions en économie du programme de terminale ES,10
18,Etudier la périphérie résidentielle d'une métropole à l'aide de la série Weeds,5
19,Gabarit TraAM cycle 4 LV,6
20,Mener une enquête sur les pratiques culturelles des lycéens en classe de seconde,10
23,Lire des % de répartition,10
25,Travailler sur les proportions,10
26,Reformuler les savoirs à l'oral,10
27,Badminton : cibler individuellement les besoins des élèves,2
28,La croissance du PIB,10
31,Présenter un document (partie 2 de l'épreuve composée),10
32,Marchés imparfaitement concurrentiels,10
33,Normes et valeurs,10
34,Rédiger un paragraphe argumentatif,10
37,Renforcement musculaire au collège,2
38,Méthodologie de la dissertation,10
39,séquence pédagogique en espagnol Galicia íntimamente,6
42,séquence pédagogique en espagnol  Presentar y describir,6
44,séquence pédagogique en espagnol :La Tierra tiene fiebre,6
46,Utiliser le numérique pour… Réaliser une analyse orale et visuelle,2
47,Pourquoi le Colorado est-il le seul grand fleuve au monde à ne plus se jeter dans la mer ? ,5
48,La méthode EC3 en carte mentale,10
50,Méthodologie de la dissertation,10
55,Accueillir et informer des visiteurs en langue anglaise : Natur'beauté,14
56,Créer une serre connectée ,11
57,"C4 L'oeuvre, l'espace, l'auteur, le spectateur - Faire l'expérience de l'espace",0
58,Comprendre le concept de shrinking city à l’aide d’une série TV,5
60,Grille d'évaluation pour l'EC3,10
61,Conseils méthodologiques pour la dissertation,10
62,EC2: Vous présenterez le document puis vous mettrez en évidence les différences de niveau de diplôme selon l'âge et le sexe.,10
63,Mots croisés - Quels sont les grands équilibres macroéconomiques ?,10
64,Mots croisés - Comment répartir les revenus et la richesse ?,10
65,Vivre à Alger au début du XX ème siècle,5
66,Situation professionnelle JUPITER MEDIA centrée sur le processus 4 du BTS CG.,14
67,TP simulés sur les tensions et intensité,9
68,Lectures de données.,10
69,Autoévaluation à la dissertation,10
70,Comprendre les quantiles,10
71,Comment enseigner l'histoire de la Shoah ? Micro-histoire et numérique pour mener un projet de classe.,5
72,Mesure de la distance relative Terre-Soleil,9
73,Découvrir la civilisation antique par le jeu,4
